 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  13. 3.    Time:  12:47:13
 Units: L = mm   , T = days , M = mmol 
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.00110.00000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     T     F     F     T     F     T     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)
 185   -920.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 186   -925.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 187   -930.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 188   -935.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 189   -940.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 190   -945.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 191   -950.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 192   -955.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 193   -960.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 194   -965.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 195   -970.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 196   -975.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 197   -980.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 198   -985.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 199   -990.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 200   -995.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 201  -1000.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
end

 Number of species in the chain :   1


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.060  0.410   0.500E-02   0.270E+01   0.360E+04  2.170

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S          Kv
 
  0.4100  -0.100E-04 -0.5000E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.126E-04 -0.4899E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.159E-04 -0.4798E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.201E-04 -0.4697E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.254E-04 -0.4596E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.320E-04 -0.4495E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.404E-04 -0.4394E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.509E-04 -0.4293E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.643E-04 -0.4192E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.811E-04 -0.4091E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.102E-03 -0.3990E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.129E-03 -0.3889E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.163E-03 -0.3788E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.206E-03 -0.3687E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.260E-03 -0.3586E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.327E-03 -0.3485E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.413E-03 -0.3384E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.521E-03 -0.3283E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.658E-03 -0.3182E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.830E-03 -0.3081E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.105E-02 -0.2980E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.132E-02 -0.2879E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.167E-02 -0.2778E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.210E-02 -0.2677E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.266E-02 -0.2576E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.335E-02 -0.2475E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.423E-02 -0.2374E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.534E-02 -0.2273E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.673E-02 -0.2172E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.850E-02 -0.2071E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.107E-01 -0.1970E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.135E-01 -0.1869E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.171E-01 -0.1768E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.215E-01 -0.1667E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.272E-01 -0.1566E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.343E-01 -0.1465E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.433E-01 -0.1364E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.546E-01 -0.1263E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.689E-01 -0.1162E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.870E-01 -0.1061E+01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.110E+00 -0.9596E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.138E+00 -0.8586E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.175E+00 -0.7576E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.221E+00 -0.6566E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.278E+00 -0.5556E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.351E+00 -0.4545E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.443E+00 -0.3535E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.559E+00 -0.2525E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.705E+00 -0.1515E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.890E+00 -0.5051E-01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.112E+01  0.5051E-01  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.142E+01  0.1515E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
  0.4100  -0.179E+01  0.2525E+00  0.0000E+00  0.3600E+04  0.3556E+01    1.0000  0.0000E+00
