 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  13. 3.    Time:  12:52:40
 Units: L = mm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  185    920.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  186    925.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  187    930.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  188    935.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  189    940.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  190    945.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  191    950.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  192    955.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  193    960.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  194    965.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  195    970.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  196    975.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  197    980.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  198    985.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  199    990.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  200    995.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  201   1000.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
end
